,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52,forecast_week_1,forecast_week_2,forecast_week_3,forecast_week_4,forecast_week_5,forecast_week_6,forecast_week_7,forecast_week_8,forecast_week_9,forecast_week_10,forecast_week_11,forecast_week_12,forecast_week_13,Mean Forecasted Revenue,Value Score,Stability Trend Score,Farmer Rating,Eligibility,Credit Score,Default Probability,Risk Category,Recommended Loan Amount,Loan Amt.
2,6487,10898,5133,3138,3056,5293,3170,2751,0,3333,4746,11039,3275,8611,3709,7025,19186,18296,17370,16413,23633,15950,36641,25381,40219,23374,25151,32583,28558,26249,15298,10880,5113,0,3145,6575,4471,0,0,124,0,9083,900,0,1931,122,0,2704,7147,5125,2589,917,1433.6065570792723,1573.7056385061117,1553.7969787289303,1666.492051964536,1652.2371410001645,1741.4630325635087,1731.5293486227688,1801.3254623388516,1794.591246501783,1848.6893389684203,1844.261556953156,1885.90105911212,1883.0965821717705,1723.8996918854914,0.0068031400729471015,0.2881519024725971,0.29495504254554417,False,573.2170170008765,0.6308021676388841,High Risk,2241.069599451139,0
3,1289,1392,1789,1319,662,2290,1994,2527,1172,3059,1819,1550,2038,1782,3272,2954,2212,1974,3037,875,882,936,9923,3499,3959,3617,17024,37461,67243,63366,46199,22235,4720,0,1145,0,373,0,0,0,0,440,2104,2306,1206,1417,1310,2153,1771,3527,3665,3110,2281.5530029526294,1674.823409615473,1513.4979949668993,1341.6496775203495,1277.819238441931,1217.9712004970556,1190.9971317855034,1168.104046609039,1156.4687681731762,1147.3069002198076,1142.2718414449105,1138.5189664140885,1136.3455759950748,1337.4867503566106,0.005277423304092385,-0.2331470736881308,-0.22786965038403842,False,331.1380309309451,0.9954006914375964,High Risk,1738.732775463594,0
4,3844,4256,3716,4511,5209,7299,9899,7440,1915,18215,16976,1866,13996,14124,45085,69116,46317,72006,117000,114340,92482,92769,182633,173485,268467,319416,309609,266754,271105,325712,213065,97668,113398,62815,14820,22819,22738,14582,14001,11098,9722,12922,23350,26493,1217,2791,0,5203,7938,1909,850,546,1236.386610899191,1389.0623486097036,1549.4564826634307,1716.7951250871479,1890.246704418738,2068.939948672808,2251.981131042335,2438.4701388670355,2627.5150388497614,2818.24491825495,3009.820878453326,3201.4451408983155,3392.3682950528514,2276.210212443815,0.008983888521735095,0.29983842112930054,0.30882230965103563,False,579.6378574964695,0.6004265821233468,High Risk,2959.07327617696,0
5,3428,2346,2419,2110,1569,2110,1951,936,169,235,193,0,0,543,1382,1608,661,1814,1793,1974,1368,1440,2301,3106,3637,3823,3771,3789,3432,2645,1975,1744,1719,833,680,0,0,0,0,0,211,577,548,1216,657,225,357,0,0,181,189,76,156.56966435286017,325.4470737331677,323.9973789458444,323.9973789458444,323.9973789458444,323.9973789458444,323.9973789458444,323.9973789458444,323.9973789458444,323.9973789458444,323.9973789458444,323.9973789458444,323.9973789458444,311.2298389607936,0.0012253401293558068,0.1377664427666602,0.138991782896016,False,501.00270067132163,0.8786754041280431,High Risk,404.5987906490317,0
11,0,2407,934,1639,8641,15669,13667,12997,5931,12871,9770,12041,13876,13904,16329,16936,16862,15294,17725,16480,15829,14254,14319,14200,14209,12818,15095,15718,14145,7867,11271,10503,10255,12999,11717,11338,5654,5232,9519,9376,8085,8233,10095,11590,10571,3780,4097,11683,9681,6121,2391,9831,12739.254192636306,7291.801385610617,7291.801385610617,7291.801385610617,7291.801385610617,7291.801385610617,7291.801385610617,7291.801385610617,7291.801385610617,7291.801385610617,7291.801385610617,7291.801385610617,7291.801385610617,7710.836216920284,0.030442020836550253,-0.13887301496588264,-0.10843099412933238,False,386.4406767216032,0.9862271367597624,High Risk,10024.08708199637,0
13,3330,20632,48997,26615,27791,42098,69652,66293,45123,108987,75277,74647,68688,88805,98199,97605,102821,95610,90996,77741,74977,69706,75871,73271,70571,62704,84258,77164,66110,54449,71305,31794,24396,14427,14251,36441,62164,17714,0,0,516,11878,0,0,0,7893,0,6234,2884,9128,7721,15823,13332.040647977428,12005.243716763836,11259.549497136204,10826.398548847621,10569.677927476274,10415.641378657765,10322.519471975464,10265.963777071098,10231.519129296828,10210.504878697697,10197.670855024413,10189.82769327234,10185.032673248626,10770.122322726584,0.04252133705687424,-0.23866670675793566,-0.19614536970106142,False,345.8270496505857,0.9938397523985332,High Risk,14001.159019544559,0
15,5851,22816,21865,40584,19288,39988,42961,40940,19870,45515,26537,27444,32445,47869,46886,47866,48025,47931,48883,44054,34920,23767,20363,22370,20365,26008,21845,21255,21513,23664,21971,20529,22670,23708,19283,24698,11539,9397,8498,6313,3511,4692,6834,11138,8138,223,1741,2660,5201,4405,2823,4325,4348.0196398308135,4632.958544588512,4916.430494154304,5197.330215520645,5474.653238719799,5747.499090518022,6015.0721325578825,6276.680398758554,6531.732780642212,6779.734891939945,7020.2839186799,7253.0627308346975,7477.833498861222,5974.714736585117,0.02358710121394164,0.2998033781461603,0.32339047936010196,False,586.3832308496376,0.567666148008353,High Risk,7767.129157560653,0
16,0,0,2338,5472,4133,25212,34432,38462,19897,44409,58713,67120,57970,69849,84405,109306,105729,92185,108329,116872,94013,85779,70285,32100,57025,41813,69259,68159,50436,36103,33776,32856,19064,7582,2124,0,460,2373,5207,3025,12438,24451,18964,22355,9918,4258,806,5776,9887,17839,27675,26617,16707.677158101396,11360.059655695832,10921.592628119439,10921.592628119439,10921.592628119439,10921.592628119439,10921.592628119439,10921.592628119439,10921.592628119439,10921.592628119439,10921.592628119439,10921.592628119439,10921.592628119439,11400.404286393157,0.04500994874070652,-0.14815387461481624,-0.10314392587410973,False,388.8887021110222,0.9855460192069604,High Risk,14820.525572311104,0
18,2387,12974,16576,4475,1328,6873,8440,4306,422,3434,2329,3793,541,10160,9442,12701,6769,6891,15678,32526,30860,19405,18670,27225,68705,61414,81538,50920,58986,49121,43307,46724,27993,28507,17377,7610,0,0,0,0,417,589,824,1345,2163,4668,0,3155,2268,17402,6475,2617,2828.7029043443044,2978.649272701104,3083.0996458172363,3154.8256739685335,3203.6120279417883,3236.584575840394,3258.7746818337932,3273.666006239026,3283.6403528006704,3290.3128205578137,3294.7726894475704,3297.7519822390777,3299.7414692989687,3191.0872386946367,0.012596198230794074,0.2583820430027983,0.2709782412335924,False,562.1152465043951,0.680853099472784,High Risk,4148.413410303028,0
19,1898,5133,5549,4730,2531,11965,23736,28502,14934,14749,9613,20442,19869,24782,22630,21551,24555,9311,20598,21756,21816,17580,20814,23001,23788,22544,20910,25441,26257,26406,28877,18487,27303,13867,9303,29414,20062,4588,4063,6357,6240,4110,3591,409,4983,6301,11082,9619,8779,16466,8787,5371,7077.231326324398,7804.601042276053,8044.980411199663,8258.699325008194,8447.987486568753,8615.082893174062,8762.165513003674,8891.312044608718,9004.467255569189,9103.427984843496,9189.83653696807,9265.180818338024,9330.799125582857,8599.67475103578,0.03395151989975101,0.28457256549943993,0.31852408539919097,False,584.1299866325883,0.5786905470527857,High Risk,11179.577176346515,0
20,16737,80094,85153,78569,41315,53345,59079,11156,0,3841,6978,7303,4607,12767,46745,51271,55796,46859,41813,34350,118512,85177,240932,221982,153667,96126,157281,249537,245961,237803,231600,133703,42968,0,0,2678,0,0,0,0,0,928,1814,2239,2195,2273,456,1356,2670,3248,1834,2284,2201.085049568679,2180.3651778871767,2175.158478518637,2173.8442771406835,2173.5121935498973,2173.4282560998845,2173.4070385524606,2173.4016751246204,2173.400319336929,2173.399976615364,2173.3998899807784,2173.3998680809245,2173.3998625449876,2176.24631253854,0.00858919004770846,-0.1745226300203048,-0.16593343997259632,False,359.8158176158124,0.9918671974835142,High Risk,2829.1202063001024,0
21,3612,2840,6355,6395,4036,7780,7997,7587,3531,10138,10521,12808,5748,27811,22325,26439,24013,23498,31584,35561,50364,32888,37615,38577,26718,21770,28257,34980,16202,21829,12614,29776,22243,38396,31639,24317,36019,17943,2823,12052,8278,5020,6963,7558,2528,0,0,0,0,0,0,5924,11567.82296275754,6805.510063961972,10364.307909889047,7424.915886382401,9672.612429379375,7842.889980260902,9261.57220052565,8117.638278068615,9012.138507464995,8295.281618075946,8858.76842064219,8408.952516204601,8763.68250017202,8799.699482598864,0.03474129957411694,-0.0680489890078018,-0.03330768943368487,False,421.2243693759099,0.9727616349259867,High Risk,11439.609327378525,0
23,222446,224385,165878,85609,88645,105090,118154,92065,37940,126483,90177,68606,122439,182413,253435,79122,90365,77105,67946,71960,90244,90199,197683,163837,190722,238669,240484,191939,245788,199929,134843,97195,99576,76963,27196,16647,15805,5928,22942,27599,9083,21677,102108,58059,13838,1577,26726,41489,98504,64776,65222,103845,83037.1048939835,71450.32812392614,64586.36106247826,60347.927873437395,57656.906305565426,55916.15673255274,54775.91114658397,54022.7013327153,53522.33385474309,53188.66788609226,52965.59682627913,52816.207559377486,52716.04714993594,59000.17313443621,0.2329533577728279,-0.2486788318460613,-0.01572547407323338,False,429.3653101632926,0.9680989011491697,High Risk,76700.22507476708,0
